id,code,name,parent_id:id,user_type_id:id,reconcile,chart_template_id:id
0_0_0_00_000_00000,0.0.0.00.000.00000,COEXISTE,,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_0_0_00_000_00000,1.0.0.00.000.00000,ATIVO,0_0_0_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_0_00_000_00000,1.1.0.00.000.00000,ATIVO CIRCULANTE,1_0_0_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_00_000_00000,1.1.1.00.000.00000,DISPONIVEL,1_1_0_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_01_000_00000,1.1.1.01.000.00000,NUMERARIOS,1_1_1_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_01_001_00000,1.1.1.01.001.00000,CAIXA,1_1_1_01_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_01_001_00001,1.1.1.01.001.00001,Caixa Geral,1_1_1_01_001_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_01_001_00002,1.1.1.01.001.00002,Fundo fixo de caixa,1_1_1_01_001_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_000_00000,1.1.1.02.000.00000,BANCOS,1_1_1_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00000,1.1.1.02.002.00000,BANCOS CONTA MOVIMENTO,1_1_1_02_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00001,1.1.1.02.002.00001,Itau,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00002,1.1.1.02.002.00002,Bradesco,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00003,1.1.1.02.002.00003,Caixa Economica Federal,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00004,1.1.1.02.002.00004,Banco do Brasil,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00005,1.1.1.02.002.00005,Santander,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_002_00006,1.1.1.02.002.00006,Itau Conta Garantia,1_1_1_02_002_00000,account.data_account_type_liquidity,FALSE,tko_pjcontabil_coa_template
1_1_1_02_003_00000,1.1.1.02.003.00000,APLICACOES FINANCEIRAS LIQUIDEZ IMEDIATA,1_1_1_02_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_1_02_003_00001,1.1.1.02.003.00001,Aplicacoes financeiras,1_1_1_02_003_00000,account.data_account_type_current_assets,FALSE,tko_pjcontabil_coa_template
1_1_2_00_000_00000,1.1.2.00.000.00000,CLIENTES,1_1_0_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_2_01_000_00000,1.1.2.01.000.00000,DUPLICATAS A RECEBER,1_1_2_00_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_2_01_001_00000,1.1.2.01.001.00000,DUPLICATAS A RECEBER,1_1_2_01_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_2_01_001_00001,1.1.2.01.001.00001,Duplicatas a receber,1_1_2_01_001_00000,account.data_account_type_receivable,TRUE,tko_pjcontabil_coa_template
1_1_2_01_002_00000,1.1.2.01.002.00000,( - ) DUPLICATAS DESCONTADAS,1_1_2_01_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
1_1_2_01_002_00001,1.1.2.01.002.00001,( - ) Duplicatas descontadas,1_1_2_01_002_00000,account.data_account_type_receivable,TRUE,tko_pjcontabil_coa_template
1_1_2_01_003_00000,1.1.2.01.003.00000,( - ) CREDITOS VENCIDOS E NAO LIQUIDADOS,1_1_2_01_000_00000,account_parent.data_account_type_view,FALSE,tko_pjcontabil_coa_template
